[2025-05-12 21:43:00] PID 1 | 12.09 MB | python run_strategies.py
[2025-05-12 21:43:00] PID 8 | 11.57 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:43:00] PID 9 | 16.14 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:43:00] PID 10 | 15.79 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:43:00] PID 11 | 15.36 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:43:00] PID 12 | 15.64 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:43:00] PID 13 | 8.61 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:43:00] PID 14 | 8.66 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:43:00] PID 15 | 7.70 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:43:00] PID 16 | 7.24 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:44:00] 📊 Всего Python-памяти: 1169.32 MB
[2025-05-12 21:44:00] PID 1 | 12.36 MB | python run_strategies.py
[2025-05-12 21:44:00] PID 8 | 11.57 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:44:00] PID 9 | 154.20 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:44:00] PID 10 | 140.98 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:44:00] PID 11 | 152.53 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:44:00] PID 12 | 133.02 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:44:00] PID 13 | 140.97 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:44:00] PID 14 | 142.41 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:44:00] PID 15 | 142.62 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:44:00] PID 16 | 138.65 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:45:00] 📊 Всего Python-памяти: 1178.18 MB
[2025-05-12 21:45:00] PID 1 | 12.36 MB | python run_strategies.py
[2025-05-12 21:45:00] PID 8 | 11.57 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:45:00] PID 9 | 155.80 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:45:00] PID 10 | 140.65 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:45:00] PID 11 | 153.45 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:45:00] PID 12 | 135.46 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:45:00] PID 13 | 140.97 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:45:00] PID 14 | 144.34 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:45:00] PID 15 | 143.39 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:45:00] PID 16 | 140.20 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:46:00] 📊 Всего Python-памяти: 1183.14 MB
[2025-05-12 21:46:00] PID 1 | 12.36 MB | python run_strategies.py
[2025-05-12 21:46:00] PID 8 | 11.57 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:46:00] PID 9 | 157.89 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:46:00] PID 10 | 142.67 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:46:00] PID 11 | 151.24 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:46:00] PID 12 | 135.72 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:46:00] PID 13 | 141.63 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
